Match,Optimal_moves,Sub_optimal_moves,win,Number_turns
Game0,11,7,0,36
Game1,29,6,0,70
Game2,9,8,0,34
Game3,17,11,0,56
Game4,20,11,0,62
Game5,16,11,0,54
Game6,15,11,0,52
Game7,30,15,0,90
Game8,27,16,0,86
Game9,19,9,0,56
Game10,41,8,0,98
Game11,59,7,0,132
Game12,19,9,0,56
Game13,37,11,0,96
Game14,23,10,0,66
Game15,23,11,0,68
Game16,20,13,0,66
Game17,15,13,0,56
Game18,13,7,0,40
Game19,33,11,0,88
Game20,12,12,0,48
Game21,30,11,0,82
Game22,16,8,0,48
Game23,26,10,0,72
Game24,36,6,0,84
Game25,16,7,0,46
Game26,20,9,0,58
Game27,17,12,0,58
Game28,30,10,0,80
Game29,11,10,0,42
Game30,29,6,0,70
Game31,13,13,0,52
Game32,22,10,0,64
Game33,13,7,0,40
Game34,15,7,0,44
Game35,12,10,0,44
Game36,11,7,0,36
Game37,18,10,0,56
Game38,11,7,0,36
Game39,25,12,0,74
Game40,43,7,0,100
Game41,28,9,0,75
Game42,19,9,0,56
Game43,15,9,0,48
Game44,4,5,0,18
Game45,19,7,0,52
Game46,33,11,0,88
Game47,22,13,0,70
Game48,16,7,0,46
Game49,15,7,0,44
Game50,11,9,0,41
Game51,23,12,0,72
Game52,24,6,0,61
Game53,11,6,0,35
Game54,28,11,0,79
Game55,11,6,0,35
Game56,14,12,0,53
Game57,33,10,0,87
Game58,27,9,0,73
Game59,27,9,0,73
Game60,11,6,0,35
Game61,28,10,0,78
Game62,19,12,0,63
Game63,17,6,0,47
Game64,11,6,0,35
Game65,21,11,0,65
Game66,8,9,0,35
Game67,31,12,0,87
Game68,41,14,0,112
Game69,26,6,0,65
Game70,28,14,0,85
Game71,27,9,0,73
Game72,14,9,0,47
Game73,16,8,0,49
Game74,16,10,0,53
Game75,11,6,0,35
Game76,26,11,0,75
Game77,19,8,0,55
Game78,41,9,0,101
Game79,26,12,0,77
Game80,13,8,0,43
Game81,25,8,0,67
Game82,32,9,0,83
Game83,22,13,0,71
Game84,28,7,0,71
Game85,15,13,0,57
Game86,23,15,0,77
Game87,23,9,0,65
Game88,65,5,0,140
Game89,63,9,0,145
Game90,27,9,0,73
Game91,11,8,0,39
Game92,9,11,0,41
Game93,21,11,0,65
Game94,27,9,0,73
Game95,27,16,0,87
Game96,11,6,0,35
Game97,12,7,0,39
Game98,80,13,1,187
Game99,19,7,0,53
Game100,25,14,0,78
Game101,19,8,0,54
Game102,22,11,0,66
Game103,20,12,0,64
Game104,54,16,0,141
Game105,18,6,0,48
Game106,17,7,0,48
Game107,27,13,0,80
Game108,10,10,0,40
Game109,12,10,0,44
Game110,9,10,0,38
Game111,18,10,0,56
Game112,12,9,0,42
Game113,25,9,0,68
Game114,14,15,0,58
Game115,33,9,0,84
Game116,13,10,0,46
Game117,22,12,0,68
Game118,13,8,0,42
Game119,17,10,0,54
Game120,14,10,0,48
Game121,71,6,0,153
Game122,4,5,0,18
Game123,45,7,0,104
Game124,15,10,0,50
Game125,4,5,0,18
Game126,27,15,0,84
Game127,14,13,0,54
Game128,10,9,0,38
Game129,22,11,0,66
Game130,12,10,0,44
Game131,19,10,0,58
Game132,102,19,1,242
Game133,114,13,1,254
Game134,21,10,0,62
Game135,19,7,0,52
Game136,44,7,0,102
Game137,24,14,0,76
Game138,26,10,0,72
Game139,75,9,1,167
Game140,21,10,0,62
Game141,19,10,0,58
Game142,21,6,0,55
Game143,10,10,0,40
Game144,28,11,0,78
Game145,53,12,0,130
Game146,18,12,0,60
Game147,23,6,0,58
Game148,38,11,0,99
Game149,30,14,0,88
Game150,17,7,0,49
Game151,17,8,0,51
Game152,29,16,0,91
Game153,17,8,0,51
Game154,13,9,0,45
Game155,25,9,0,69
Game156,11,13,0,49
Game157,35,9,0,89
Game158,10,9,0,39
Game159,18,8,0,53
Game160,13,9,0,45
Game161,35,15,0,101
Game162,8,8,0,33
Game163,29,6,0,71
Game164,14,6,0,41
Game165,13,6,0,39
Game166,11,7,0,37
Game167,28,12,0,81
Game168,39,8,0,95
Game169,24,13,0,75
Game170,10,10,0,41
Game171,11,6,0,35
Game172,42,14,0,113
Game173,29,12,0,83
Game174,11,6,0,35
Game175,24,8,0,65
Game176,95,8,0,207
Game177,64,11,0,151
Game178,26,9,0,71
Game179,31,11,0,86
Game180,23,12,0,71
Game181,9,12,0,43
Game182,34,12,0,93
Game183,18,8,0,53
Game184,32,11,0,87
Game185,22,10,0,65
Game186,29,10,0,79
Game187,23,12,0,71
Game188,22,7,0,59
Game189,17,11,0,57
Game190,39,16,0,111
Game191,36,6,0,86
Game192,11,6,0,35
Game193,26,11,0,75
Game194,16,14,0,61
Game195,16,9,0,51
Game196,11,6,0,35
Game197,28,10,0,77
Game198,8,9,0,35
Game199,18,13,0,63
Game200,48,3,1,102
Game201,6,14,0,40
Game202,10,9,0,38
Game203,15,13,0,56
Game204,11,7,0,36
Game205,9,10,0,38
Game206,32,17,0,98
Game207,4,5,0,18
Game208,10,8,0,36
Game209,22,15,0,74
Game210,20,6,0,53
Game211,20,10,0,60
Game212,97,12,1,218
Game213,14,7,0,42
Game214,15,8,0,46
Game215,22,9,0,62
Game216,53,9,0,124
Game217,31,17,0,96
Game218,17,9,0,52
Game219,14,14,0,56
Game220,20,6,0,52
Game221,17,11,0,56
Game222,17,10,0,54
Game223,29,14,0,86
Game224,10,9,0,38
Game225,9,13,0,44
Game226,15,10,0,50
Game227,15,10,0,50
Game228,12,9,0,42
Game229,20,16,0,72
Game230,32,10,0,84
Game231,18,13,0,62
Game232,53,4,0,114
Game233,12,10,0,44
Game234,18,5,1,45
Game235,55,18,0,146
Game236,15,13,0,56
Game237,47,6,0,106
Game238,44,11,0,110
Game239,15,7,0,44
Game240,77,11,1,176
Game241,108,17,1,250
Game242,61,11,1,144
Game243,83,11,1,188
Game244,8,10,0,36
Game245,99,12,0,221
Game246,21,6,0,55
Game247,43,16,0,118
Game248,18,11,0,58
Game249,38,6,0,88
Game250,20,5,1,50
Game251,23,9,0,65
Game252,35,14,0,99
Game253,12,9,0,43
Game254,26,14,0,81
Game255,42,18,0,121
Game256,13,6,0,39
Game257,98,11,0,219
Game258,32,12,0,89
Game259,20,10,0,61
Game260,21,14,0,71
Game261,36,10,0,93
Game262,19,14,0,67
Game263,30,6,1,72
Game264,12,7,0,39
Game265,24,13,0,75
Game266,28,11,0,79
Game267,9,11,0,41
Game268,11,6,0,35
Game269,32,6,0,77
Game270,66,4,1,140
Game271,23,15,0,77
Game272,20,12,0,65
Game273,21,9,0,61
Game274,15,11,1,52
Game275,14,12,0,53
Game276,15,9,0,49
Game277,11,10,0,43
Game278,19,7,0,53
Game279,34,6,0,81
Game280,22,9,0,63
Game281,27,11,0,77
Game282,33,15,0,97
Game283,64,19,1,167
Game284,12,12,0,49
Game285,22,15,0,75
Game286,19,8,0,55
Game287,27,16,0,88
Game288,35,5,0,81
Game289,12,9,0,43
Game290,25,8,0,67
Game291,111,7,1,237
Game292,14,14,0,57
Game293,92,12,0,209
Game294,36,19,0,111
Game295,51,10,1,123
Game296,37,9,0,93
Game297,13,9,0,45
Game298,32,8,0,81
Game299,30,5,0,71
Game300,28,16,0,88
Game301,32,22,0,108
Game302,95,6,1,202
Game303,46,9,1,109
Game304,14,13,0,54
Game305,16,6,0,44
Game306,20,15,0,70
Game307,15,11,0,52
Game308,75,16,1,181
Game309,18,9,0,54
Game310,49,7,0,112
Game311,28,15,0,86
Game312,36,17,0,106
Game313,10,10,0,40
Game314,16,13,0,58
Game315,17,16,0,66
Game316,19,13,0,64
Game317,16,9,0,50
Game318,25,22,0,94
Game319,12,10,0,44
Game320,24,13,0,74
Game321,18,12,0,60
Game322,17,13,0,60
Game323,21,10,0,62
Game324,18,12,0,60
Game325,32,9,0,82
Game326,28,7,0,70
Game327,13,13,0,52
Game328,11,6,0,34
Game329,56,14,1,139
Game330,15,10,0,50
Game331,61,17,1,156
Game332,32,5,0,74
Game333,51,13,1,127
Game334,25,15,0,80
Game335,29,12,0,82
Game336,28,19,0,94
Game337,4,5,0,18
Game338,34,7,0,82
Game339,20,16,0,72
Game340,9,10,0,38
Game341,65,8,1,146
Game342,15,10,0,50
Game343,21,14,0,70
Game344,24,9,0,66
Game345,23,11,0,68
Game346,15,16,0,62
Game347,30,6,0,72
Game348,23,10,0,66
Game349,7,10,0,34
Game350,23,14,0,75
Game351,31,13,0,89
Game352,39,16,0,111
Game353,29,10,1,79
Game354,15,8,0,47
Game355,104,11,0,231
Game356,115,17,1,265
Game357,19,21,0,81
Game358,32,14,0,93
Game359,16,11,0,55
Game360,22,17,0,79
Game361,37,23,0,121
Game362,9,11,0,41
Game363,101,20,0,243
Game364,94,17,1,223
Game365,12,8,0,41
Game366,32,16,0,97
Game367,32,21,0,107
Game368,19,4,0,47
Game369,22,9,0,63
Game370,23,11,0,69
Game371,63,5,0,136
Game372,13,8,0,44
Game373,64,10,0,148
Game374,23,21,0,89
Game375,29,14,0,87
Game376,92,9,0,202
Game377,27,14,0,83
Game378,48,10,1,116
Game379,17,8,0,51
Game380,13,15,0,57
Game381,37,11,0,98
Game382,69,7,0,152
Game383,65,11,1,152
Game384,88,15,1,207
Game385,26,9,0,71
Game386,50,11,0,123
Game387,93,18,1,222
Game388,31,16,0,95
Game389,22,10,0,65
Game390,49,9,1,116
Game391,12,11,0,47
Game392,41,4,1,91
Game393,92,7,1,199
Game394,25,11,0,73
Game395,20,8,0,57
Game396,12,12,0,49
Game397,38,12,0,101
Game398,62,8,1,140
Game399,12,12,0,49
Game400,60,31,1,182
Game401,37,16,1,105
Game402,72,11,0,165
Game403,25,10,1,69
Game404,91,19,1,220
Game405,47,15,1,123
Game406,32,12,0,88
Game407,12,12,0,48
Game408,104,25,1,258
Game409,12,12,0,48
Game410,41,5,1,91
Game411,31,11,1,83
Game412,20,7,1,53
Game413,21,14,0,70
Game414,13,8,0,42
Game415,4,5,0,18
Game416,15,6,0,42
Game417,36,16,0,104
Game418,11,10,0,42
Game419,31,11,1,83
Game420,108,12,1,240
Game421,91,9,1,200
Game422,22,26,0,96
Game423,17,7,1,47
Game424,39,17,0,112
Game425,18,6,0,48
Game426,27,10,0,74
Game427,18,11,0,58
Game428,26,11,0,74
Game429,29,28,0,114
Game430,103,17,1,239
Game431,34,7,1,82
Game432,26,16,1,83
Game433,35,15,1,99
Game434,43,9,1,103
Game435,15,17,0,64
Game436,95,6,1,202
Game437,14,9,0,46
Game438,54,15,1,137
Game439,35,9,1,87
Game440,77,28,1,210
Game441,22,10,0,64
Game442,63,21,1,167
Game443,46,9,1,109
Game444,52,21,1,146
Game445,21,11,0,65
Game446,78,10,0,176
Game447,19,10,0,58
Game448,17,9,0,52
Game449,29,14,0,86
Game450,21,8,1,58
Game451,96,21,1,235
Game452,16,7,0,47
Game453,11,5,0,33
Game454,98,17,1,231
Game455,81,15,1,193
Game456,11,12,0,47
Game457,34,16,1,100
Game458,58,12,1,141
Game459,18,7,1,50
Game460,33,18,0,103
Game461,26,15,1,82
Game462,60,7,1,135
Game463,12,8,0,41
Game464,23,12,0,71
Game465,17,9,1,52
Game466,22,11,0,67
Game467,21,13,0,69
Game468,29,11,1,81
Game469,58,19,1,154
Game470,53,11,1,129
Game471,21,13,0,69
Game472,27,17,1,88
Game473,43,18,1,123
Game474,47,14,1,122
Game475,16,12,0,57
Game476,87,11,1,197
Game477,31,22,0,107
Game478,27,8,0,71
Game479,56,10,1,133
Game480,16,11,0,55
Game481,24,14,0,77
Game482,9,7,0,33
Game483,30,16,0,93
Game484,24,11,0,71
Game485,53,18,1,142
Game486,59,6,1,131
Game487,39,4,1,87
Game488,66,8,1,148
Game489,37,7,1,88
Game490,22,13,0,71
Game491,75,8,1,167
Game492,26,8,0,69
Game493,51,7,0,117
Game494,24,8,1,65
Game495,8,13,0,43
Game496,14,9,1,46
Game497,22,11,0,67
Game498,21,6,1,54
Game499,64,12,1,152
Game500,108,16,0,248
Game501,16,10,0,52
Game502,30,9,1,77
Game503,35,11,0,93
Game504,64,11,1,150
Game505,17,12,0,58
Game506,37,13,1,99
Game507,20,9,0,58
Game508,47,13,1,119
Game509,46,14,1,119
Game510,59,18,1,153
Game511,43,13,1,112
Game512,48,22,1,139
Game513,25,20,1,89
Game514,33,26,1,117
Game515,26,18,1,87
Game516,58,14,1,143
Game517,23,12,1,69
Game518,54,26,1,159
Game519,43,21,1,127
Game520,27,8,1,69
Game521,21,12,0,66
Game522,9,7,0,32
Game523,35,12,1,93
Game524,17,10,0,54
Game525,25,17,0,84
Game526,85,17,0,204
Game527,41,29,0,140
Game528,58,19,0,154
Game529,29,17,1,91
Game530,48,23,1,143
Game531,12,5,1,34
Game532,9,10,0,38
Game533,18,17,0,70
Game534,16,11,0,54
Game535,97,23,1,240
Game536,49,16,1,129
Game537,23,8,0,62
Game538,59,17,1,151
Game539,11,14,0,50
Game540,27,16,1,85
Game541,21,13,0,68
Game542,38,11,1,97
Game543,66,19,1,169
Game544,33,17,1,99
Game545,28,13,0,82
Game546,42,10,0,104
Game547,45,17,1,124
Game548,13,8,1,41
Game549,37,15,1,103
Game550,77,17,0,189
Game551,36,27,1,126
Game552,20,7,0,55
Game553,31,11,1,84
Game554,28,13,1,83
Game555,33,11,1,88
Game556,78,11,1,178
Game557,40,24,1,128
Game558,18,9,1,54
Game559,77,29,1,213
Game560,54,15,1,138
Game561,17,10,0,55
Game562,65,9,1,149
Game563,21,13,0,69
Game564,74,25,0,198
Game565,23,12,0,71
Game566,29,21,0,101
Game567,56,21,1,155
Game568,13,9,1,44
Game569,77,21,1,196
Game570,43,19,1,125
Game571,30,14,1,88
Game572,48,19,1,134
Game573,78,7,1,171
Game574,31,18,1,98
Game575,68,24,1,184
Game576,47,18,1,130
Game577,27,13,1,80
Game578,15,12,0,55
Game579,24,16,0,81
Game580,79,31,1,220
Game581,63,10,1,147
Game582,75,6,1,163
Game583,75,13,1,176
Game584,59,25,1,168
Game585,52,23,1,150
Game586,26,13,1,78
Game587,44,12,1,112
Game588,48,20,1,136
Game589,61,27,1,176
Game590,25,14,1,78
Game591,71,13,1,169
Game592,39,16,1,110
Game593,22,20,0,85
Game594,32,12,1,89
Game595,56,13,1,139
Game596,53,15,1,137
Game597,71,21,1,185
Game598,24,8,1,64
Game599,67,19,1,173
Game600,18,8,1,51
Game601,28,19,1,93
Game602,37,24,1,121
Game603,21,10,1,61
Game604,58,26,1,167
